referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PM0518D0007,47PM0423F0006,47PM0518D0007~47PM0423F0006,9,59134-42.7,VJW7MNJN5R83,Direct Path Corporation,0,0.00
47PM0518D0012,47PM0221F0035,47PM0518D0012~47PM0221F0035,1,6721,U8KKDVWY1RA3,"VATICA CONTRACTING, INC.",503.5,0.2
47PM0518D0021,47PM0121F0015,47PM0518D0021~47PM0121F0015,1,57112-002,KM1KVDZ8JUF9,DJB CONTRACTING INC,2633,1.26
47PM0518D0021,47PM0122F0002,47PM0518D0021~47PM0122F0002,1,57117-003,GSGRRP38GYL1,SHANNON CONSTRUCTION COMPANY,8910,4.28
47PM0518D0021,47PM0122F0002,47PM0518D0021~47PM0122F0002,2,57117-009,G5G3FL1CGY56,6,0,
47PM0518D0021,47PM0122F0029,47PM0518D0021~47PM0122F0029,1,57121-002,ND3JM5BPLG78,JPG PLUMBING & MECHANICAL INC,15,0
47PM0518D0021,47PM0222F0024,47PM0518D0021~47PM0222F0024,1,57120-002,WMADX6Z5RPJ9,FORT MYER CONSTRUCTION CORP,2316,1.11
47PM0518D0023,47PM0123F0009,47PM0518D0023~47PM0123F0009,1,Y011-23-23-006,NKUFT4RGWYE3,ROMANA PROSPERITY CONSTRUCTION CORPORATION,0,0
47PM0518D0023,47PM0123F0009,47PM0518D0023~47PM0123F0009,2,Y011-23-26-001,U3HARKBMQKJ3,"SPECIFIED ELECTRICAL SYSTEMS, LLC.",0,0
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,1,w115-21,E5FNEMUSNWQ5,POWER COMPONENT SYSTEMS INC,1394,0.67
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,2,w115-21,KDHDL8KY83M1,"ANNANDALE BALANCING COMPANY, INC.",8,0
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,3,w115-21,KW4NY96ETYM8,CONQUEST SOLUTIONS LLC,27,0.01
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,4,w115-21,MVQLESJ7S3U5,"K & M ELECTRICAL SERVICES, INC.",160,0.07
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,5,w115-21,NE7MA2MFTA77,"DW SOLUTIONS, LLC",92,0.04
47PM0518D0023,47PM0322F0007,47PM0518D0023~47PM0322F0007,6,w115-21,NKUFT4RGWYE3,ROMANA PROSPERITY CONSTRUCTION CORPORATION,240,0.11
